Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","4.7uF","C_0603_1608Metric",59.500000,-112.450000,0.000000,top
"C2","4.7uF","C_0603_1608Metric",56.580000,-111.360000,90.000000,top
"C3","0.1u","C_0603_1608Metric",58.475000,-102.010000,0.000000,top
"C4","0.1u","C_0603_1608Metric",53.770000,-105.570000,90.000000,top
"C5","100u","C_1206_3216Metric",64.440000,-102.340000,180.000000,top
"C8","0.1u","C_0603_1608Metric",83.540000,-103.340000,-60.000000,top
"C9","0.1u","C_0603_1608Metric",64.880000,-118.100000,90.000000,top
"C11","0.1u","C_0603_1608Metric",64.470000,-96.240000,-90.000000,top
"C13","0.1u","C_0603_1608Metric",75.460000,-100.270000,180.000000,top
"C14","0.1u","C_0603_1608Metric",64.300000,-104.590000,180.000000,top
"C16","4.7u","C_0603_1608Metric",72.640000,-103.180000,0.000000,top
"C18","0.1u","C_0603_1608Metric",72.120000,-101.330000,0.000000,top
"C22","0.1u","C_0603_1608Metric",55.010000,-114.360000,180.000000,top
"D1","LED_Green","LED_0805_2012Metric",64.200000,-111.150000,90.000000,top
"J2","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",68.970928,-127.439520,0.000000,top
"Q1","2N7002","SOT-23",58.690000,-115.280000,180.000000,top
"R1","22","R_0603_1608Metric",55.420000,-117.520000,-90.000000,top
"R2","5.1k","R_0603_1608Metric",76.080000,-123.040000,25.000000,top
"R3","5.1k","R_0603_1608Metric",61.810000,-122.830000,150.000000,top
"R4","470R","R_0603_1608Metric",65.430000,-120.840000,0.000000,top
"R6","1k","R_0603_1608Metric",80.400000,-103.290000,180.000000,top
"R7","1k","R_0603_1608Metric",80.400000,-101.350000,180.000000,top
"R8","10k","R_0603_1608Metric",82.100000,-122.810000,-130.000000,top
"R9","10k","R_0603_1608Metric",56.000000,-123.260000,-50.000000,top
"R10","10k","R_0603_1608Metric",56.213363,-100.706637,-135.000000,top
"R11","10k","R_0603_1608Metric",73.880000,-96.860000,-90.000000,top
"R13","470R","R_0603_1608Metric",62.290000,-111.100000,-90.000000,top
"R14","510R","R_0603_1608Metric",64.290000,-106.140000,0.000000,top
"R15","5k","R_0603_1608Metric",63.210000,-108.420000,0.000000,top
"R16","210k","R_0603_1608Metric",53.050000,-117.030000,-90.000000,top
"R17","10k","R_0603_1608Metric",54.120928,-120.519520,-60.000000,top
"R18","2.2K","R_0603_1608Metric",64.170000,-99.470000,-90.000000,top
"R19","210k","R_0603_1608Metric",55.590000,-108.460000,0.000000,top
"R21","10k","R_0603_1608Metric",63.960000,-114.830000,90.000000,top
"R22","1M","R_0603_1608Metric",61.910000,-115.290000,-90.000000,top
"SW1","SW_Push","button_side_smd",60.080928,-98.029520,123.000000,top
"SW2","SW_Push","button_side_smd",77.860928,-98.029520,57.000000,top
"SW4","SW_Push","button_side_smd",77.860928,-125.969520,-57.000000,top
"SW5","SW_Push","button_side_smd",60.080928,-125.969520,-123.000000,top
"U1","DS3231MZ","SOIC-8_3.9x4.9mm_P1.27mm",69.100000,-97.390000,0.000000,top
"U2","BMA400","LGA-12_2x2mm_P0.5mm",76.160000,-102.610000,0.000000,top
"U6","CH340E","MSOP-10_3x3mm_P0.5mm",59.860000,-119.220000,0.000000,top
"U7","ttgo-32-micro","ttgo-32-micro",75.170928,-111.999520,-90.000000,top
"U9","TPS2115A","TSSOP-8_4.4x3mm_P0.65mm",58.660000,-105.640000,180.000000,top
"U10","XC6209","SOT-23-5",68.690000,-102.340000,90.000000,top
"U11","MCP73831T-2ACI_OT","SOT-23-5",59.460000,-109.580000,0.000000,top
